timestamp,hour_of_day,day_of_week,month,transaction_type,volume,value,is_weekend,is_holiday,is_month_end,fraud_flag
2024-01-01 00:00:00,0,0,1,mobile_wallet,67,3298.58,0,1,0,0
2024-01-01 01:00:00,1,0,1,direct_debit,8,2175.88,0,1,0,0
2024-01-01 02:00:00,2,0,1,bank_transfer,26,28519.01,0,1,0,0
2024-01-01 03:00:00,3,0,1,card_payment,108,9010.3,0,1,0,0
2024-01-01 04:00:00,4,0,1,direct_debit,9,2332.22,0,1,0,0
2024-01-01 05:00:00,5,0,1,mobile_wallet,64,3057.4,0,1,0,0
2024-01-01 06:00:00,6,0,1,card_payment,389,35216.19,0,1,0,0
2024-01-01 07:00:00,7,0,1,mobile_wallet,283,11887.47,0,1,0,0
2024-01-01 08:00:00,8,0,1,card_payment,377,32761.51,0,1,0,0
2024-01-01 09:00:00,9,0,1,card_payment,1003,72832.02,0,1,0,0
2024-01-01 10:00:00,10,0,1,bank_transfer,213,293810.7,0,1,0,0
2024-01-01 11:00:00,11,0,1,bank_transfer,213,259759.97,0,1,0,0
2024-01-01 12:00:00,12,0,1,bank_transfer,147,168244.11,0,1,0,0
2024-01-01 13:00:00,13,0,1,card_payment,747,57656.94,0,1,0,0
2024-01-01 14:00:00,14,0,1,card_payment,728,62861.04,0,1,0,0
2024-01-01 15:00:00,15,0,1,card_payment,609,49885.65,0,1,0,0
2024-01-01 16:00:00,16,0,1,mobile_wallet,407,18337.88,0,1,0,0
2024-01-01 17:00:00,17,0,1,mobile_wallet,610,26288.05,0,1,0,0
2024-01-01 18:00:00,18,0,1,card_payment,829,63437.9,0,1,0,0
2024-01-01 19:00:00,19,0,1,mobile_wallet,636,25947.99,0,1,0,0
2024-01-01 20:00:00,20,0,1,card_payment,923,64903.31,0,1,0,0
2024-01-01 21:00:00,21,0,1,bank_transfer,114,137786.73,0,1,0,0
2024-01-01 22:00:00,22,0,1,card_payment,594,49281.49,0,1,0,0
2024-01-01 23:00:00,23,0,1,card_payment,524,48259.59,0,1,0,0
2024-01-02 00:00:00,0,1,1,card_payment,100,7712.41,0,1,0,0
2024-01-02 01:00:00,1,1,1,card_payment,100,7249.81,0,1,0,0
2024-01-02 02:00:00,2,1,1,mobile_wallet,54,3138.07,0,1,0,0
2024-01-02 03:00:00,3,1,1,bank_transfer,21,23151.39,0,1,0,0
2024-01-02 04:00:00,4,1,1,card_payment,112,8534.06,0,1,0,0
2024-01-02 05:00:00,5,1,1,mobile_wallet,63,3336.21,0,1,0,0
2024-01-02 06:00:00,6,1,1,card_payment,423,32484.92,0,1,0,0
2024-01-02 07:00:00,7,1,1,card_payment,412,31857.95,0,1,0,0
2024-01-02 08:00:00,8,1,1,card_payment,391,31058.81,0,1,0,0
2024-01-02 09:00:00,9,1,1,card_payment,970,83872.99,0,1,0,0
2024-01-02 10:00:00,10,1,1,mobile_wallet,721,36682.32,0,1,0,0
2024-01-02 11:00:00,11,1,1,mobile_wallet,673,34936.04,0,1,0,0
2024-01-02 12:00:00,12,1,1,direct_debit,85,24912.79,0,1,0,0
2024-01-02 13:00:00,13,1,1,card_payment,723,70091.77,0,1,0,0
2024-01-02 14:00:00,14,1,1,mobile_wallet,473,24280.83,0,1,0,0
2024-01-02 15:00:00,15,1,1,mobile_wallet,382,15740.49,0,1,0,0
2024-01-02 16:00:00,16,1,1,card_payment,609,44898.93,0,1,0,0
2024-01-02 17:00:00,17,1,1,card_payment,932,76624.17,0,1,0,0
2024-01-02 18:00:00,18,1,1,mobile_wallet,675,28261.07,0,1,0,0
2024-01-02 19:00:00,19,1,1,bank_transfer,194,234906.6,0,1,0,0
2024-01-02 20:00:00,20,1,1,direct_debit,116,28166.59,0,1,0,0
2024-01-02 21:00:00,21,1,1,mobile_wallet,432,15265.67,0,1,0,0
2024-01-02 22:00:00,22,1,1,bank_transfer,141,160241.88,0,1,0,0
2024-01-02 23:00:00,23,1,1,card_payment,596,43227.95,0,1,0,0
